ID,Yiyecek adı,Miktar (1 porsiyon) gram,Kap Numarası,Renk,"Kıvam","Fiyat",Enerji,Protein,"Yağ",Karbonhidrat,Lif
65,Patates Köftesi,100,1,kahverengi,"katı","b",137.2,4.4,"6.3",15.2,1.3
66,Rulo Köfte,180,1,kahverengi,"katı","b",252.1,22.0,"12.7",12.2,2.3
67,"Şiş Köfte ",150,1,kahverengi,"katı","b",294.0,25.3,"19.2",5.3,0.6
68,Saç Kavurma,120,1,kahverengi,"katı","b",166.6,12.5,"12.1",1.9,0.7
69,Kağıt Kebabı,300,1,kahverengi,"katı","a",211.5,25.2,"8.4",8.1,3.5
70,Kuzu Kapama,250,1,kahverengi,"katı","a",415.3,31.2,"30.6",4.2,1.7
71,Kremalı Domates Çorbası,200,2,kırmızı,"sıvı","e",103.3,2.0,"7.6",6.7,2.0
72,Tavuklu Şehriye Çorbası,200,2,beyaz,"sıvı","e",99.4,7.3,"5.8",4.5,0.3
73,Tavuk Etli Çorba,200,2,beyaz,"sıvı","e",171.6,12.5,"10.3",6.4,0.5
74,Mercimek Çorbası,200,2,kahverengi,"sıvı","e",103.3,7.7,"3.3",10.3,3.2
75,Bezelye Çorbası,200,2,yeşil,"sıvı","e",126.7,5.9,"7.7",8.3,3.1
76,Domatesli Pirinç Çorbası,200,2,kırmızı,"sıvı","e",82.2,1.2,"4.4",9.3,0.8
77,Düğün Çorbası,200,2,beyaz,"sıvı","e",132.4,8.3,"6.8",9.5,0.4
78,Ezogelin Çorbası,200,2,kırmızı,"sıvı","e",132.4,4.6,"6.0",14.9,2.6
79,Sebze Çorbası,200,2,yeşil,"sıvı","e",123.3,3.3,"7.4",10.8,1.0
80,İşkembe Çorbası,200,2,beyaz,"sıvı","e",99.9,7.9,"6.1",2.9,0.1
81,Patates Çorbası,200,2,beyaz,"sıvı","e",93.7,1.2,"5.6",9.2,0.8
82,Un Çorbası,200,2,beyaz,"sıvı","e",142.4,2.1,"8.8",13.9,0.7
83,Yayla Çorbası,200,2,beyaz,"sıvı","e",94.2,2.8,"4.9",9.7,0.3
84,Yeşil Mercimek Çorbası,200,2,yeşil,"sıvı","e",139.6,6.0,"6.0",15.2,2.0
85,Yoğurt Çorbası,200,2,beyaz,"sıvı","e",190.2,5.2,"16.3",5.5,0.1
86,Balık Çorbası,200,2,beyaz,"sıvı","e",86.0,11.2,"2.2",5.1,1.3
87,Bulgur Çorbası,200,2,kahverengi,"sıvı","e",97.0,1.9,"4.6",11.8,2.4
88,Domates Çorbası,200,2,kırmızı,"sıvı","e",148.7,3.4,"8.6",14.3,1.5
